,ms_location,latitude,longitude,localite
789,608-01-04006-52736,14.8593438,-15.8815393,NDAME/MBACKE/DIOURBEL
894,608-01-09004-29182,14.78957109,-16.92765634,THIES/THIES/THIES
398,608-01-09020-65485,14.14909971,-16.08068955,KAOLACK/KAOLACK/KAOLACK
323,608-01-09004-46891,14.77189584,-17.06040624,POUT/THIES/THIES
519,608-01-09047-47098,14.807131,-15.96606481,NDAME/MBACKE/DIOURBEL
916,608-01-09008-01128,14.72704456,-17.48164462,ALMADIES/DAKAR/DAKAR
922,608-01-09008-42867,14.69312433,-17.4627641,DAKAR PLATEAU/DAKAR/DAKAR
5,608-01-00101-21490,14.67573408,-17.45076475,DAKAR PLATEAU/DAKAR/DAKAR
731,608-01-03004-43616,14.8828349,-15.8565828,NDAME/MBACKE/DIOURBEL
465,608-01-09029-51152,13.9858578,-16.2566261,PASSY/FOUNDIOUGNE/FATICK
97,608-01-00827-30156,14.989943,-17.006745,PAMBAL/TIVAOUANE/THIES
266,608-01-04018-55477,14.43812,-16.9865199,SALY PORTUDAL/MBOUR/THIES
357,608-01-09012-10067,14.91110075,-17.12350154,KAYAR/THIES/THIES
868,608-01-09001-56271,14.73315653,-17.4232229,GRAND DAKAR/DAKAR/DAKAR
798,608-01-04011-58452,14.7955612,-16.9202414,THIES/THIES/THIES
380,608-01-09016-05781,14.781271,-17.332348,MALIKA/KEUR MASSAR/DAKAR
631,608-01-00707-11823,13.044284,-14.261334,SARE COLY SALLE/VELINGARA/KOLDA
381,608-01-09016-06345,14.79023854,-17.3156768,MALIKA/KEUR MASSAR/DAKAR
490,608-01-09034-63525,14.86779679,-15.85033292,NDAME/MBACKE/DIOURBEL
118,608-01-01396-00038,14.76723051,-17.29446713,JAXAAY/KEUR MASSAR/DAKAR
900,608-01-09005-12843,14.651995,-16.232742,DIOURBEL/DIOURBEL/DIOURBEL
250,608-01-04013-53194,14.9368316,-16.8133388,TIVAOUANE/TIVAOUANE/THIES
523,608-01-19157-00006,13.9363604,-16.76297439,FIMELA/FATICK/FATICK
9,608-01-00116-20826,14.73265494,-17.5092587,ALMADIES/DAKAR/DAKAR
196,608-01-03427-00006,12.79455592,-12.29381592,BANDAFASSI/KEDOUGOU/KEDOUGOU
603,608-01-00411-24683,16.0781471,-13.8575855,GALOYA TOUCOULEUR/PODOR/SAINT LOUIS
81,608-01-00716-22098,13.9543933,-15.99166945,KOUMBAL/KAOLACK/KAOLACK
783,608-01-04004-53068,14.826327,-15.949083,NDAME/MBACKE/DIOURBEL
587,608-01-00255-39829,14.765899,-16.813124,THIENABA/THIES/THIES
797,608-01-04011-58304,14.7798163,-16.9107503,THIES/THIES/THIES
239,608-01-04011-58466,14.779514,-16.927257,THIES/THIES/THIES
290,608-01-09000-14952,14.66264253,-17.4336647,DAKAR PLATEAU/DAKAR/DAKAR
211,608-01-04000-56356,14.82746,-15.89374,NDAME/MBACKE/DIOURBEL
717,608-01-02733-00001,14.77375124,-17.26638184,JAXAAY/KEUR MASSAR/DAKAR
359,608-01-09012-16064,15.71247554,-16.423977,SAKAL/LOUGA/LOUGA
449,608-01-09028-08670,14.71719375,-17.2004785,DIAMNIADIO/RUFISQUE/DAKAR
227,608-01-04005-56552,14.722659,-16.566661,NGOYE/BAMBEY/DIOURBEL
950,608-01-09013-64252,14.050872,-16.329836,DJILOR/FOUNDIOUGNE/FATICK
946,608-01-09013-16211,14.05538747,-16.64595485,FIMELA/FATICK/FATICK
796,608-01-04011-58200,14.7630245,-16.9476583,THIES/THIES/THIES
501,608-01-09040-25045,14.175669,-16.074759,KAOLACK/KAOLACK/KAOLACK
464,608-01-09029-48454,13.67573405,-15.9916288,WACK NGOUNA/NIORO DU RIP/KAOLACK
